,experimental bulk,cellanneal mixed bulk,"fold change, exp/mixed","log10 fold change, exp/mixed"
EFEMP2,6.986276814904801e-05,6.948406872125465e-05,1.0054501619545706,0.002360548404124922
EFHD1,5.117876880884444e-05,5.665906547949413e-05,0.9032759078486196,-0.04417957310416197
EFHD2,0.000284901648637468,0.00041999572537984386,0.6783441626216627,-0.16854990789657098
EFNA1,0.00019319911838295957,0.0005572595015124774,0.34669506371554204,-0.4600523418346993
EFNB1,0.00014746408389529263,0.00012473535872115264,1.1822155754965225,0.07269667680920831
EFNB2,0.0007801269392494305,0.0007862038353102915,0.9922705845635279,-0.003369882927602071
EGFL7,6.953317309726195e-05,7.268007272051711e-05,0.9567020297935556,-0.019223304612474602
EGFR,0.00027024951145728914,0.00019947419020513912,1.3548094175961547,0.13187820686529084
EGR1,0.0002811002522527406,0.0010930594133218288,0.25716831933085094,-0.5897825333653584
EHBP1L1,0.0002261277646475095,9.87065246694535e-05,2.2909100021985553,0.3600080283791515
EHD1,0.00018293762980744278,9.833335439654315e-05,1.8603822775100392,0.26960219365593974
EHD2,3.623903756719539e-05,8.822263577807973e-05,0.41076802169403714,-0.3864033736005554
EHD4,0.00019266525525679965,0.00019430993897457335,0.9915357715284502,-0.0036916131811417317
EHF,0.0006465141252210757,0.0003326832756883756,1.9433322095417427,0.28854704889528937
EHHADH,0.00018317549730740925,0.00010404094873856292,1.7606096400341167,0.24566307546082544
EID1,0.0005261911151694202,0.0003936328708280637,1.3367560337694895,0.1260521530692777
EIF3H,0.0003994545152398299,0.000937598651947586,0.4260399846033059,-0.370549639682072
EIF3L,0.0002411880834315052,0.00041248803161571425,0.5847153491624285,-0.23305550549733287
EIF4A2,0.0011779346457451937,0.001019509178728024,1.1553938604209792,0.06273005543979383
EIF4B,0.0005365358595511223,0.0006579696838040153,0.8154416119131356,-0.08860713030948558
EIF4G2,0.0008946367935138806,0.0010528514989450377,0.8497274253874464,-0.07072036444410042
ELF1,0.0007300041667120997,0.0004792603959435974,1.523189007251105,0.18275379677870457
ELF3,0.0011686369699579096,0.0014336379436838977,0.8151548827976486,-0.08875986567270315
ELK3,0.00011550746607957549,0.00012215198424500996,0.9456045007659718,-0.02429046935920932
ELL2,0.00012175265811189377,0.00011374670500012132,1.070384044195073,0.029539626610517577
ELN,3.063856198939914e-05,4.5912949288638104e-05,0.6673185335314791,-0.17566681326000746
