index,B cells,CAFs,Cholangiocyte,Hepatocytes,Kupffer cells,LSEC,LVEC,LVECm,Myofibroblasts,Pericytes,Proliferation,SAMs,Stellate cells,T cells_far,T cells_tumor,TM1,cDC1,cDC2,Carcinoma
CDNF,4.75E-06,0,0,2.43E-06,0,3.21E-06,0,0,0,0,0,0,0,0,0,0,0,0,5.58E-06
NOTUM,0,0,0,1.40E-05,1.64E-06,0,0,0,0,0,0,8.57E-07,0,0,0,0,0,3.51E-06,0
ZBTB37,4.75E-06,3.76E-06,5.18E-06,0,1.31E-05,6.41E-06,5.62E-06,9.27E-06,1.24E-05,0,0,1.20E-05,0,1.32E-05,0,8.65E-06,0,3.51E-06,8.37E-06
RGPD2,1.43E-05,1.13E-05,7.77E-06,6.08E-07,1.15E-05,1.92E-05,2.95E-05,2.47E-05,6.21E-06,1.01E-05,1.45E-05,8.57E-06,1.15E-05,5.29E-05,7.53E-05,1.87E-05,1.16E-05,2.10E-05,8.37E-06
ARL15,4.75E-06,7.51E-06,2.59E-06,1.22E-06,4.91E-06,9.62E-06,3.65E-05,0.000117372,0,0,0,5.14E-06,7.66E-06,0,1.51E-05,4.32E-06,1.16E-05,3.51E-06,1.12E-05
CDK10,4.75E-06,1.88E-05,3.11E-05,9.73E-06,0,1.28E-05,1.55E-05,2.16E-05,6.21E-06,0,2.42E-05,6.85E-06,7.66E-06,6.62E-06,1.51E-05,7.20E-06,1.16E-05,2.45E-05,3.07E-05
TCN2,3.80E-05,1.31E-05,1.04E-05,1.82E-06,6.71E-05,0.000144251,8.99E-05,7.72E-05,0,1.01E-05,4.84E-06,3.94E-05,0,0,0,1.01E-05,0,1.40E-05,1.12E-05
GAS2L1,4.75E-06,2.44E-05,1.04E-05,4.86E-06,1.47E-05,0.000105784,7.45E-05,8.65E-05,2.49E-05,1.01E-05,2.42E-05,1.11E-05,3.07E-05,0,0,1.15E-05,0,0,1.95E-05
TEDC1,0,0,5.18E-06,4.26E-06,8.18E-06,6.41E-06,4.22E-06,6.18E-06,0,1.01E-05,1.45E-05,2.57E-06,0,0,6.02E-05,8.65E-06,1.16E-05,3.51E-06,1.12E-05
HGS,1.43E-05,2.82E-05,4.66E-05,1.16E-05,1.15E-05,1.28E-05,3.23E-05,4.02E-05,2.49E-05,1.01E-05,1.45E-05,1.97E-05,3.83E-05,3.31E-05,4.52E-05,2.16E-05,0,3.86E-05,5.58E-05
TNFAIP8L1,3.33E-05,1.13E-05,1.55E-05,2.80E-05,1.47E-05,0.000176306,6.60E-05,0.000120461,6.21E-06,4.02E-05,2.91E-05,9.43E-06,2.30E-05,1.99E-05,1.51E-05,1.30E-05,3.49E-05,1.40E-05,2.79E-06
MAPK11,0,7.51E-06,0,0,0,1.28E-05,1.12E-05,6.18E-06,0,0,0,0,0,0,0,1.44E-06,1.16E-05,0,0
SP140L,3.80E-05,1.13E-05,1.04E-05,2.43E-06,3.44E-05,3.21E-05,2.67E-05,2.78E-05,0,1.01E-05,2.91E-05,2.31E-05,3.83E-05,4.63E-05,4.52E-05,4.03E-05,0,3.51E-05,1.95E-05
TARS3,3.33E-05,1.13E-05,1.81E-05,4.26E-06,1.15E-05,1.28E-05,9.84E-06,3.09E-06,4.97E-05,1.01E-05,0,8.57E-06,2.30E-05,1.32E-05,3.01E-05,8.65E-06,0,7.01E-06,1.67E-05
SMYD3,9.50E-06,1.88E-05,1.55E-05,2.43E-06,3.27E-06,2.24E-05,1.26E-05,1.54E-05,6.21E-06,1.01E-05,4.84E-06,1.20E-05,1.15E-05,3.97E-05,0,7.20E-06,1.16E-05,0,2.23E-05
METTL7A,0.000289865,7.32E-05,0.000194185,0.00041094,0.000242272,0.000141045,0.000129263,4.32E-05,4.97E-05,4.02E-05,9.20E-05,0.000132815,0.000118784,6.62E-05,4.52E-05,0.000161387,0.000127868,0.000119238,5.02E-05
SH3BGR,4.75E-06,9.39E-06,2.59E-06,6.08E-06,0,0,1.41E-06,0,3.11E-05,0,0,3.43E-06,3.83E-06,0,0,0,0,0,0
FAM174B,2.38E-05,7.51E-06,3.11E-05,3.04E-06,3.27E-06,5.45E-05,2.81E-05,1.54E-05,0,0,1.45E-05,4.28E-06,3.83E-06,6.62E-06,1.51E-05,0,0,3.51E-06,3.35E-05
TMEM179B,5.70E-05,6.38E-05,5.96E-05,3.65E-05,7.86E-05,2.56E-05,6.46E-05,6.80E-05,3.11E-05,4.02E-05,4.84E-05,5.31E-05,4.60E-05,5.96E-05,6.02E-05,4.03E-05,2.32E-05,5.61E-05,6.42E-05
GPRIN3,2.85E-05,0,2.59E-06,3.04E-06,7.04E-05,3.21E-06,2.81E-06,1.24E-05,1.86E-05,3.02E-05,3.39E-05,8.65E-05,0,5.96E-05,7.53E-05,0.000110954,6.97E-05,6.31E-05,1.12E-05
ROR1,4.75E-06,1.69E-05,5.18E-06,0,8.18E-06,0,1.41E-06,1.24E-05,4.97E-05,0,0,0,3.83E-05,0,0,1.44E-06,1.16E-05,0,0
FAAP100,9.50E-06,2.44E-05,1.81E-05,6.08E-06,1.64E-05,1.28E-05,1.26E-05,1.24E-05,6.21E-05,0,9.69E-06,1.11E-05,2.68E-05,1.32E-05,3.01E-05,1.44E-05,1.16E-05,2.10E-05,1.12E-05
IRF7,7.60E-05,1.50E-05,1.04E-05,7.90E-06,4.26E-05,2.24E-05,2.67E-05,4.02E-05,6.21E-06,0,1.45E-05,3.26E-05,1.15E-05,6.62E-06,6.02E-05,3.60E-05,1.16E-05,2.10E-05,2.23E-05
BRCC3,4.75E-06,1.50E-05,2.33E-05,6.69E-06,2.29E-05,3.21E-06,5.62E-06,1.85E-05,3.11E-05,3.02E-05,3.87E-05,3.86E-05,1.53E-05,2.65E-05,1.51E-05,1.01E-05,3.49E-05,1.40E-05,5.02E-05
PDE6G,9.50E-06,0,0,0,2.78E-05,1.92E-05,4.22E-06,0,6.21E-06,0,4.84E-06,6.00E-06,0,0,0,8.65E-06,0,3.51E-06,0
NR2F2,1.43E-05,0.000315492,0.00020972,2.98E-05,1.80E-05,0.000336585,0.000424319,0.000126639,0.000366624,0.000422336,1.45E-05,8.57E-06,0.000310371,1.32E-05,0,8.65E-06,1.16E-05,1.75E-05,0.000184126
TLCD2,0,1.69E-05,7.77E-06,3.65E-06,8.18E-06,3.85E-05,1.97E-05,9.27E-06,1.86E-05,6.03E-05,9.69E-06,1.29E-05,2.68E-05,1.32E-05,0,4.32E-06,1.16E-05,3.51E-06,3.63E-05
