index,B cells,CAFs,Cholangiocyte,Hepatocytes,Kupffer cells,LSEC,LVEC,LVECm,Myofibroblasts,Pericytes,Proliferation,SAMs,Stellate cells,T cells_far,T cells_tumor,TM1,cDC1,cDC2,Carcinoma
EMC3,5.70E-05,6.76E-05,7.51E-05,4.32E-05,4.91E-05,5.13E-05,5.20E-05,5.87E-05,6.84E-05,0.000150834,4.36E-05,6.43E-05,6.13E-05,3.97E-05,1.51E-05,4.76E-05,3.49E-05,4.91E-05,6.70E-05
SSUH2,4.75E-06,0,0,0,0,0,4.22E-06,3.09E-05,0,0,0,0,3.83E-06,0,0,0,0,3.51E-06,0
SH3TC1,1.43E-05,0,5.18E-06,3.65E-06,8.51E-05,8.98E-05,1.12E-05,2.47E-05,0,1.01E-05,2.42E-05,4.37E-05,3.83E-06,6.62E-06,4.52E-05,7.35E-05,0.00010462,5.61E-05,2.79E-06
CNOT1,4.75E-05,4.69E-05,6.21E-05,2.19E-05,4.75E-05,7.05E-05,4.50E-05,6.49E-05,4.35E-05,4.02E-05,0.000116231,5.48E-05,4.21E-05,0.000112505,4.52E-05,5.62E-05,9.30E-05,5.26E-05,4.18E-05
LRRC29,0,1.88E-06,0,6.08E-07,3.27E-06,0,2.81E-06,0,0,0,0,1.71E-06,0,0,0,1.44E-06,0,0,0
BBS2,9.50E-06,3.38E-05,1.81E-05,2.43E-06,2.13E-05,2.24E-05,3.79E-05,1.24E-05,3.73E-05,1.01E-05,4.84E-06,1.29E-05,4.60E-05,1.32E-05,3.01E-05,1.01E-05,1.16E-05,1.75E-05,8.37E-06
MT1G,8.08E-05,2.82E-05,4.92E-05,0.001833424,7.69E-05,2.56E-05,3.79E-05,2.16E-05,0.00029827,1.01E-05,9.69E-06,3.77E-05,9.58E-05,2.65E-05,1.51E-05,0.000129686,1.16E-05,3.86E-05,2.79E-06
MT2A,0.000465684,0.001791546,0.000292572,0.003320345,0.002124793,0.001134772,0.001702895,0.00157526,0.006431448,0.001850232,0.000401966,0.000657218,0.004042486,0.000496344,0.000872955,0.000597998,0.00010462,0.000771537,3.35E-05
C16orf70,1.43E-05,9.39E-06,1.81E-05,1.40E-05,1.80E-05,9.62E-06,7.03E-06,1.24E-05,0,0,4.84E-06,1.37E-05,1.53E-05,1.32E-05,0,1.44E-06,0,1.75E-05,8.37E-06
GOT2,3.33E-05,4.51E-05,7.51E-05,0.00024012,3.11E-05,7.37E-05,5.06E-05,6.49E-05,1.86E-05,5.03E-05,4.84E-05,2.57E-05,3.83E-05,3.31E-05,1.51E-05,3.03E-05,4.65E-05,7.01E-06,1.67E-05
DOK4,4.75E-06,2.44E-05,1.55E-05,1.03E-05,0,6.41E-06,7.03E-06,1.54E-05,3.73E-05,1.01E-05,2.42E-05,2.57E-06,2.30E-05,0,1.51E-05,0,0,0,2.51E-05
CLYBL,9.50E-06,1.13E-05,2.85E-05,3.28E-05,1.64E-05,2.56E-05,9.84E-06,1.24E-05,6.21E-06,1.01E-05,9.69E-06,1.54E-05,0,1.32E-05,0,1.87E-05,0,3.51E-06,8.37E-06
TMTC4,2.38E-05,7.51E-06,2.07E-05,3.65E-06,3.27E-06,6.73E-05,1.69E-05,2.47E-05,0,0,3.87E-05,2.57E-06,3.83E-06,0,0,5.76E-06,0,0,1.39E-05
RAP2A,2.38E-05,2.63E-05,1.81E-05,4.26E-06,1.80E-05,3.21E-05,2.67E-05,6.49E-05,7.46E-05,4.02E-05,3.87E-05,4.54E-05,1.15E-05,1.99E-05,3.01E-05,3.89E-05,3.49E-05,3.16E-05,3.07E-05
ABCC4,2.38E-05,1.13E-05,4.14E-05,6.08E-07,0,0,8.43E-06,1.24E-05,0,1.01E-05,4.84E-06,1.54E-05,1.15E-05,0,0,2.31E-05,0,3.51E-06,5.58E-06
EFNB2,4.75E-06,7.51E-06,2.59E-05,3.65E-06,1.80E-05,0.000217979,0.000167198,0.000333585,0,1.01E-05,1.94E-05,3.43E-06,0,0,1.51E-05,5.76E-06,0,7.01E-06,0.000357093
TM9SF2,0.000128301,0.000180281,0.000137224,7.84E-05,0.000101492,0.000147456,9.41E-05,0.00012355,0.000118065,0.00016089,0.000121074,0.000131958,0.000164765,5.96E-05,0.000120408,0.000109513,0.000162741,0.000112224,0.000256661
IRF1,0.000204331,5.26E-05,0.000111333,1.64E-05,0.000173519,0.000128223,6.60E-05,7.72E-05,3.11E-05,5.03E-05,0.00013076,9.08E-05,7.28E-05,0.000258099,0.000225764,0.0001196,0.00010462,0.000143786,5.02E-05
UPF3B,9.50E-06,1.69E-05,2.33E-05,4.26E-06,3.11E-05,1.28E-05,2.39E-05,3.09E-05,6.21E-06,2.01E-05,2.91E-05,2.14E-05,3.07E-05,3.97E-05,4.52E-05,3.46E-05,3.49E-05,1.05E-05,1.39E-05
RNF113A,1.43E-05,1.50E-05,1.29E-05,4.86E-06,1.47E-05,9.62E-06,1.97E-05,1.54E-05,1.24E-05,0,1.94E-05,1.80E-05,3.83E-06,2.65E-05,0,1.44E-06,0,1.40E-05,1.39E-05
Sep-06,0.000128301,0.000101408,1.55E-05,1.34E-05,8.18E-05,4.17E-05,6.04E-05,1.85E-05,2.49E-05,0.000120667,0.000116231,6.68E-05,6.51E-05,0.000211773,0.000180611,0.000148419,0.000151117,8.77E-05,8.37E-06
NDUFA1,0.000522707,0.000313614,0.000302928,0.000187841,0.000184978,0.000217979,0.000206539,0.000219301,0.000397693,0.000311724,0.00035838,0.000249349,0.000199251,0.000112505,0.000180611,0.000207498,0.000220863,0.000245489,0.000318036
DMAC2L,3.33E-05,9.39E-06,2.85E-05,1.28E-05,8.18E-06,4.49E-05,1.55E-05,9.27E-06,1.24E-05,1.01E-05,9.69E-06,2.23E-05,3.83E-06,1.99E-05,0,1.44E-05,1.16E-05,2.10E-05,5.58E-06
BMP4,0,2.25E-05,5.18E-06,0,1.64E-06,0,3.09E-05,6.18E-06,1.86E-05,2.01E-05,0,8.57E-07,5.75E-05,0,0,0,0,0,0
PTGER2,0,1.69E-05,0,0,1.96E-05,1.92E-05,0,0,6.21E-06,0,0,1.37E-05,1.92E-05,6.62E-05,3.01E-05,2.88E-06,1.16E-05,2.45E-05,0
FAM193A,1.43E-05,1.88E-05,3.37E-05,6.08E-06,2.29E-05,3.85E-05,3.09E-05,3.40E-05,1.24E-05,1.01E-05,2.42E-05,3.34E-05,1.92E-05,4.63E-05,6.02E-05,2.02E-05,2.32E-05,5.26E-05,3.07E-05
SOX9,0,1.50E-05,0.000445331,1.82E-06,6.55E-06,3.21E-06,4.22E-06,6.18E-06,1.24E-05,0,3.39E-05,5.14E-06,2.30E-05,6.62E-06,0,4.32E-06,0,3.51E-06,0.000203655
HS3ST3B1,4.75E-06,1.50E-05,7.77E-06,1.88E-05,3.27E-05,5.13E-05,1.69E-05,6.18E-06,0,0,0,6.00E-06,3.83E-05,3.97E-05,3.01E-05,3.75E-05,5.81E-05,7.01E-06,0
MRPS7,3.80E-05,7.89E-05,5.44E-05,3.95E-05,3.93E-05,3.53E-05,3.51E-05,3.40E-05,6.84E-05,4.02E-05,4.84E-05,3.34E-05,4.21E-05,3.97E-05,1.51E-05,3.31E-05,5.81E-05,5.26E-05,3.63E-05
GGA3,9.50E-06,9.39E-06,2.33E-05,1.82E-06,1.15E-05,2.24E-05,1.55E-05,1.54E-05,1.86E-05,2.01E-05,4.36E-05,2.31E-05,1.15E-05,1.32E-05,3.01E-05,2.16E-05,4.65E-05,7.01E-06,1.39E-05
ARMC7,1.43E-05,5.63E-06,1.29E-05,3.65E-06,4.91E-06,6.41E-06,4.22E-06,1.24E-05,1.24E-05,0,0,1.11E-05,7.66E-06,0,1.51E-05,1.30E-05,0,7.01E-06,2.51E-05
NUP85,4.75E-06,2.07E-05,2.85E-05,8.51E-06,9.82E-06,1.92E-05,2.81E-05,1.85E-05,1.86E-05,3.02E-05,7.26E-05,2.31E-05,0,1.99E-05,1.51E-05,1.73E-05,1.16E-05,7.01E-06,2.23E-05
MIF4GD,2.38E-05,1.69E-05,1.04E-05,4.26E-06,2.95E-05,1.92E-05,1.97E-05,3.09E-05,3.11E-05,2.01E-05,4.36E-05,3.60E-05,7.66E-06,6.62E-06,4.52E-05,4.90E-05,8.14E-05,1.75E-05,1.39E-05
NT5C,9.50E-06,4.88E-05,3.62E-05,7.90E-06,2.13E-05,9.62E-06,7.03E-06,9.27E-06,3.11E-05,4.02E-05,6.30E-05,3.68E-05,3.45E-05,1.32E-05,3.01E-05,4.32E-05,1.16E-05,3.51E-05,6.14E-05
TTF1,4.75E-06,2.25E-05,2.59E-05,1.82E-06,1.64E-05,2.24E-05,2.53E-05,3.09E-05,1.24E-05,3.02E-05,1.45E-05,2.14E-05,4.21E-05,1.32E-05,3.01E-05,2.02E-05,2.32E-05,2.81E-05,2.51E-05
GTF3C4,9.50E-06,1.88E-05,5.96E-05,5.47E-06,3.27E-06,3.21E-05,1.41E-05,2.78E-05,1.24E-05,2.01E-05,4.84E-06,1.03E-05,1.53E-05,1.99E-05,0,5.76E-06,0,3.51E-06,2.79E-05
DDX31,9.50E-06,5.63E-06,1.55E-05,1.82E-06,8.18E-06,9.62E-06,1.12E-05,1.24E-05,6.21E-06,1.01E-05,0,3.43E-06,3.83E-06,6.62E-06,1.51E-05,2.88E-06,0,1.05E-05,8.37E-06
PPP1R12C,4.75E-06,2.44E-05,3.37E-05,3.65E-06,3.11E-05,6.73E-05,2.67E-05,3.71E-05,5.59E-05,0.000140779,3.39E-05,1.97E-05,2.30E-05,3.31E-05,1.51E-05,1.87E-05,1.16E-05,4.21E-05,4.46E-05
MBOAT7,0,2.44E-05,7.77E-06,1.52E-05,3.93E-05,2.89E-05,2.67E-05,1.85E-05,1.24E-05,3.02E-05,2.42E-05,4.20E-05,1.92E-05,1.32E-05,0,8.50E-05,2.32E-05,7.72E-05,6.14E-05
SLC2A4RG,1.90E-05,4.32E-05,4.92E-05,5.11E-05,1.64E-05,2.24E-05,2.81E-05,3.40E-05,0.000111851,3.02E-05,7.26E-05,1.46E-05,1.53E-05,0.000105887,0.000150509,1.87E-05,0,1.05E-05,2.79E-05
PPDPF,0.000261353,0.000394365,0.000781918,0.000114893,0.000234087,0.000217979,0.000334397,0.000293431,0.000695963,0.000372057,0.000590842,0.000256204,0.000341025,0.000377221,0.00048163,0.000191648,0.000151117,0.000263024,0.001093597
IL1B,2.85E-05,1.31E-05,1.04E-05,6.08E-07,0.000176793,1.28E-05,9.84E-06,1.85E-05,1.24E-05,3.02E-05,0.000227619,0.000488415,7.66E-06,1.99E-05,3.01E-05,0.000478399,1.16E-05,0.001115222,0
PLGLB2,4.75E-06,1.88E-06,1.81E-05,0.000221883,9.82E-06,6.41E-06,8.43E-06,0,6.21E-06,2.01E-05,4.84E-06,2.57E-06,3.83E-06,0,0,7.20E-06,0,3.51E-06,5.58E-06
CHCHD5,1.90E-05,2.25E-05,3.37E-05,1.52E-05,6.55E-06,1.92E-05,1.97E-05,2.16E-05,1.24E-05,1.01E-05,9.69E-06,1.37E-05,7.66E-06,2.65E-05,4.52E-05,1.44E-05,0,2.45E-05,1.67E-05
INSIG2,1.43E-05,2.63E-05,8.80E-05,4.50E-05,1.64E-05,4.17E-05,3.23E-05,6.18E-06,3.73E-05,1.01E-05,3.39E-05,1.89E-05,2.68E-05,3.97E-05,3.01E-05,1.73E-05,1.16E-05,1.75E-05,1.95E-05
POLR1B,4.75E-06,1.88E-06,1.29E-05,5.47E-06,8.18E-06,9.62E-06,2.81E-06,3.09E-06,0,0,4.84E-06,7.71E-06,0,0,0,4.32E-06,0,7.01E-06,8.37E-06
CCDC93,2.85E-05,1.31E-05,3.62E-05,7.29E-06,1.47E-05,3.53E-05,1.83E-05,2.16E-05,1.24E-05,1.01E-05,9.69E-06,2.06E-05,1.15E-05,1.99E-05,0,1.73E-05,2.32E-05,3.16E-05,3.07E-05
PSD4,3.33E-05,0,2.85E-05,2.01E-05,8.18E-06,9.62E-06,1.41E-06,0,0,0,1.45E-05,1.80E-05,0,7.28E-05,6.02E-05,1.73E-05,3.49E-05,1.75E-05,4.74E-05
SLC25A23,3.80E-05,1.69E-05,2.59E-05,2.13E-05,9.82E-06,1.92E-05,3.51E-05,2.16E-05,5.59E-05,4.02E-05,3.87E-05,7.71E-06,3.83E-05,6.62E-06,0,4.32E-06,0,3.51E-06,5.86E-05
PSPN,9.50E-06,1.88E-06,2.59E-06,2.43E-06,1.64E-06,6.41E-06,5.62E-06,3.09E-06,6.21E-06,0,1.45E-05,8.57E-06,1.15E-05,0,0,2.88E-06,1.16E-05,1.05E-05,5.58E-06
GTF2F1,6.18E-05,6.20E-05,0.000100976,1.64E-05,7.53E-05,8.01E-05,0.000103972,5.56E-05,9.32E-05,5.03E-05,6.30E-05,7.71E-05,7.66E-05,9.93E-05,0.000105357,4.03E-05,5.81E-05,6.31E-05,5.02E-05
ALKBH7,9.98E-05,8.26E-05,5.70E-05,6.81E-05,4.09E-05,3.53E-05,7.59E-05,3.71E-05,5.59E-05,0.000120667,7.75E-05,4.97E-05,5.75E-05,5.96E-05,0,6.48E-05,8.14E-05,4.21E-05,8.09E-05
CLPP,2.38E-05,4.51E-05,3.88E-05,2.98E-05,2.46E-05,3.85E-05,6.88E-05,4.94E-05,3.73E-05,7.04E-05,9.20E-05,2.48E-05,4.98E-05,6.62E-05,6.02E-05,3.89E-05,4.65E-05,1.75E-05,3.91E-05
TNFSF9,2.38E-05,0,2.59E-06,0,3.27E-06,0,1.41E-06,0,6.21E-06,0,1.45E-05,2.14E-05,0,1.32E-05,1.51E-05,2.31E-05,1.16E-05,7.01E-06,0
THOC2,1.43E-05,0.000116432,7.77E-05,1.28E-05,6.06E-05,8.98E-05,8.43E-05,5.87E-05,4.97E-05,7.04E-05,9.69E-05,5.91E-05,6.13E-05,7.94E-05,7.53E-05,6.77E-05,0.00010462,9.47E-05,7.25E-05
MED1,1.90E-05,3.19E-05,4.40E-05,6.08E-06,3.27E-05,3.85E-05,4.07E-05,4.02E-05,6.21E-06,4.02E-05,1.45E-05,2.66E-05,1.92E-05,3.97E-05,1.51E-05,2.74E-05,1.16E-05,1.05E-05,1.67E-05
RPL23,0.001896,0.002197179,0.001975507,0.000739813,0.001307943,0.001513029,0.002630215,0.002273317,0.001901471,0.002021177,0.001922658,0.001740299,0.002038486,0.002852321,0.002347948,0.002776729,0.003533815,0.002384752,0.001361417
AC046185.1,8.08E-05,5.45E-05,0.000103565,3.04E-05,0.000101492,8.66E-05,9.13E-05,6.18E-05,0.000118065,0.000130723,6.78E-05,6.17E-05,5.75E-05,1.32E-05,7.53E-05,4.03E-05,3.49E-05,3.16E-05,5.02E-05
ATG4C,1.90E-05,1.31E-05,5.18E-06,5.47E-06,8.18E-06,9.62E-06,2.25E-05,1.85E-05,0,0,2.91E-05,3.00E-05,1.15E-05,1.99E-05,0,2.88E-05,0,1.05E-05,1.12E-05
C3,5.70E-05,0.00071737,0.000854413,0.004067452,0.000278286,0.000147456,6.60E-05,0.000105017,9.94E-05,8.04E-05,0.001002494,0.000749759,0.001846899,7.28E-05,0.000150509,0.000683015,6.97E-05,0.000157814,8.37E-05
SH2D3A,4.75E-06,3.76E-06,8.29E-05,0,0,3.21E-06,4.22E-06,0,0,0,1.45E-05,2.57E-06,0,0,1.51E-05,1.44E-06,0,3.51E-06,7.53E-05
TRIP10,4.75E-06,4.51E-05,7.25E-05,1.82E-06,1.47E-05,7.05E-05,5.20E-05,6.80E-05,4.35E-05,4.02E-05,2.42E-05,1.11E-05,5.36E-05,1.99E-05,4.52E-05,1.87E-05,5.81E-05,1.05E-05,7.25E-05
FOSB,0.001373293,0.000454459,0.001108148,2.07E-05,0.000473086,0.000474424,0.001104353,0.000867938,0.000820243,0.00057317,0.000561784,0.000784891,0.000973262,0.001005923,0.000993363,0.001074956,0.000360356,0.000922338,0.000290138
OPA3,9.50E-06,1.13E-05,3.11E-05,6.69E-06,2.95E-05,6.73E-05,4.22E-05,0.00014826,0.000130493,6.03E-05,4.84E-06,1.97E-05,1.53E-05,1.32E-05,0,1.30E-05,5.81E-05,3.51E-06,2.51E-05
SNRPD2,0.000171068,0.000200939,0.000240789,6.93E-05,0.000127684,0.00013784,0.00021778,0.0002471,0.000242344,0.000281557,0.000377751,0.000160234,0.000164765,0.00031766,0.000150509,0.000193089,0.000209239,0.000157814,0.00027061
RTN2,4.75E-06,3.38E-05,0,6.08E-07,1.15E-05,9.62E-06,9.84E-06,1.54E-05,1.86E-05,1.01E-05,9.69E-06,8.57E-06,1.15E-05,0,1.51E-05,8.65E-06,0,0,1.39E-05
VASP,2.85E-05,5.82E-05,6.73E-05,8.51E-06,0.000198074,0.000118606,5.62E-05,0.000132816,8.70E-05,0.000100556,4.84E-05,0.000132815,4.98E-05,7.94E-05,0.000120408,0.000139773,0.000139493,0.000287573,0.000150649
GPCPD1,3.33E-05,1.88E-05,2.07E-05,5.47E-06,4.58E-05,3.53E-05,2.95E-05,3.09E-05,4.97E-05,7.04E-05,6.30E-05,7.71E-05,1.15E-05,9.27E-05,9.03E-05,6.77E-05,5.81E-05,0.000161321,8.37E-06
PANK2,1.90E-05,3.00E-05,1.04E-05,8.51E-06,2.95E-05,3.21E-05,3.09E-05,2.47E-05,3.11E-05,2.01E-05,2.42E-05,2.66E-05,3.45E-05,1.32E-05,1.51E-05,1.30E-05,2.32E-05,3.16E-05,5.58E-06
CD93,4.75E-06,7.51E-06,5.18E-06,4.26E-06,6.55E-05,0.000246829,0.00025993,0.000747476,2.49E-05,2.01E-05,1.45E-05,9.25E-05,3.83E-06,0,0,0.000152742,8.14E-05,0.000203405,0
GZF1,4.75E-06,1.31E-05,0,1.82E-06,6.55E-06,3.21E-05,2.81E-06,1.24E-05,1.24E-05,1.01E-05,4.36E-05,3.00E-05,1.53E-05,1.32E-05,0,6.34E-05,1.16E-05,7.01E-06,1.12E-05
NAPB,0,7.51E-06,1.04E-05,4.26E-06,4.91E-06,1.28E-05,4.22E-06,3.09E-06,0,0,0,2.57E-06,0,0,1.51E-05,2.88E-06,0,0,8.37E-06
CENPB,3.80E-05,8.26E-05,7.51E-05,1.95E-05,5.73E-05,5.77E-05,5.20E-05,8.96E-05,6.84E-05,0.000140779,6.30E-05,3.17E-05,4.60E-05,1.99E-05,4.52E-05,2.74E-05,1.16E-05,5.26E-05,3.63E-05
PSMF1,4.28E-05,7.32E-05,9.32E-05,5.11E-05,6.55E-05,8.98E-05,9.41E-05,7.10E-05,0.000155349,0.000120667,0.000101702,6.51E-05,9.20E-05,7.94E-05,6.02E-05,5.76E-05,0.00010462,8.07E-05,3.35E-05
DTD1-1,1.90E-05,3.00E-05,2.33E-05,5.47E-06,8.18E-06,2.89E-05,4.36E-05,3.40E-05,6.21E-06,0,3.87E-05,2.14E-05,1.53E-05,1.99E-05,0,2.74E-05,2.32E-05,2.81E-05,5.58E-06
RBCK1,3.80E-05,4.88E-05,7.25E-05,2.07E-05,4.09E-05,3.85E-05,4.36E-05,1.54E-05,5.59E-05,2.01E-05,5.81E-05,3.17E-05,3.83E-05,8.60E-05,0.000150509,3.31E-05,3.49E-05,4.91E-05,3.07E-05
TMX4,4.28E-05,7.89E-05,6.99E-05,4.13E-05,2.62E-05,5.13E-05,0.000106782,6.18E-05,4.35E-05,5.03E-05,0.000106545,3.68E-05,0.000107289,9.93E-05,1.51E-05,3.89E-05,2.32E-05,7.01E-05,5.58E-06
STK35,0,3.76E-06,1.04E-05,4.86E-06,1.64E-06,3.21E-06,7.03E-06,1.54E-05,6.21E-06,0,4.84E-06,2.57E-06,1.92E-05,6.62E-06,4.52E-05,1.15E-05,0,7.01E-06,2.23E-05
SNRPB,0.000104541,0.000159624,0.00017865,3.59E-05,8.02E-05,8.66E-05,0.000127858,0.000203857,0.000167777,0.000191057,0.000208248,0.000121675,0.000126447,0.000198537,0.000225764,0.00013545,0.000174366,0.000122745,8.65E-05
NRSN2,0,5.63E-06,1.55E-05,0,0,1.60E-05,9.84E-06,9.27E-06,1.24E-05,1.01E-05,0,1.71E-06,1.92E-05,0,1.51E-05,0,0,0,0
RRBP1,0.000242346,0.000197183,0.000142402,7.05E-05,0.000137506,0.000298118,0.000127858,0.00012355,9.32E-05,6.03E-05,6.78E-05,0.000113963,0.000275885,2.65E-05,6.02E-05,6.63E-05,4.65E-05,4.21E-05,0.000117171
BMP2,0,3.38E-05,0.000227844,2.43E-06,8.18E-06,0.000112195,2.53E-05,4.02E-05,4.97E-05,7.04E-05,1.45E-05,8.57E-07,3.83E-05,0,1.51E-05,5.76E-06,0,3.51E-06,8.37E-05
FLRT3,0,7.51E-06,5.18E-05,3.04E-06,0,3.21E-06,1.41E-06,0,0,0,1.45E-05,1.71E-06,3.83E-06,0,0,0,0,3.51E-06,1.39E-05
MKKS,4.28E-05,6.01E-05,0.000139813,2.86E-05,3.93E-05,3.53E-05,5.90E-05,4.32E-05,1.86E-05,9.05E-05,0.000111388,3.51E-05,4.21E-05,1.99E-05,4.52E-05,4.47E-05,6.97E-05,4.56E-05,4.74E-05
DSTN,0.000161564,0.000683567,0.000600678,0.000119148,7.20E-05,0.000217979,0.000311916,0.000441691,0.003386608,0.001267007,0.00030995,7.97E-05,0.00041766,5.96E-05,7.53E-05,7.06E-05,0.000162741,5.61E-05,0.000234342
SNRPB2,5.70E-05,6.76E-05,0.000103565,2.80E-05,7.37E-05,0.000115401,0.000119427,0.000101929,6.84E-05,0.000150834,0.000125917,9.17E-05,9.20E-05,0.000105887,0.000150509,7.35E-05,0.000116244,6.66E-05,4.18E-05
MGME1,1.90E-05,9.39E-06,2.59E-06,6.08E-06,2.13E-05,5.45E-05,7.03E-06,9.27E-06,0,1.01E-05,3.39E-05,1.97E-05,2.30E-05,1.32E-05,6.02E-05,1.44E-05,0,1.05E-05,1.12E-05
TBC1D20,2.38E-05,5.63E-05,2.33E-05,9.73E-06,9.82E-06,2.56E-05,3.23E-05,3.40E-05,2.49E-05,4.02E-05,1.94E-05,1.29E-05,1.92E-05,1.99E-05,0,7.20E-06,3.49E-05,2.81E-05,1.95E-05
ITPA,1.90E-05,4.51E-05,3.88E-05,1.34E-05,3.44E-05,1.60E-05,2.95E-05,9.27E-06,1.86E-05,5.03E-05,4.36E-05,4.54E-05,1.53E-05,3.31E-05,3.01E-05,2.16E-05,3.49E-05,1.05E-05,1.95E-05
MCM8,1.43E-05,5.63E-06,2.07E-05,0,8.18E-06,6.41E-06,8.43E-06,6.18E-06,1.86E-05,0,6.78E-05,5.14E-06,0,0,0,8.65E-06,0,7.01E-06,2.79E-06
MRPS26,9.50E-06,3.94E-05,4.14E-05,4.56E-05,1.31E-05,1.60E-05,2.11E-05,3.09E-05,3.73E-05,5.03E-05,3.39E-05,2.31E-05,2.30E-05,2.65E-05,6.02E-05,1.59E-05,0,1.05E-05,2.79E-05
NCLN,4.75E-05,1.88E-05,1.81E-05,1.16E-05,1.96E-05,3.53E-05,1.55E-05,1.24E-05,1.24E-05,2.01E-05,2.42E-05,1.80E-05,3.83E-05,2.65E-05,0,1.59E-05,1.16E-05,1.40E-05,2.51E-05
HNRNPR,8.08E-05,0.000138967,6.21E-05,2.49E-05,6.38E-05,0.000108989,0.000119427,9.27E-05,6.84E-05,0.000120667,0.000150132,7.45E-05,0.000122616,9.27E-05,0.000105357,7.78E-05,8.14E-05,8.07E-05,8.93E-05
MAX,4.75E-05,5.07E-05,3.62E-05,1.09E-05,0.000116225,9.62E-05,6.18E-05,9.58E-05,4.35E-05,6.03E-05,1.45E-05,8.83E-05,2.68E-05,7.94E-05,7.53E-05,9.08E-05,5.81E-05,7.72E-05,4.46E-05
CHURC1-FNTB,0,9.39E-06,5.18E-06,4.86E-06,3.27E-06,9.62E-06,1.26E-05,0,1.24E-05,2.01E-05,0,1.29E-05,1.15E-05,0,0,2.88E-06,0,0,1.95E-05
ARMCX5,4.75E-06,1.13E-05,5.18E-06,4.86E-06,9.82E-06,3.21E-06,4.22E-06,6.18E-06,1.86E-05,1.01E-05,4.84E-06,7.71E-06,3.83E-06,0,1.51E-05,5.76E-06,0,3.51E-06,0
ID1,5.23E-05,0.000137089,2.59E-05,1.64E-05,3.60E-05,0.000538536,0.000993356,0.001099594,0.000260986,0.000201112,0.000101702,1.29E-05,1.53E-05,1.32E-05,0,1.73E-05,1.16E-05,1.75E-05,0.000351513
RALY,0.000142556,9.77E-05,9.32E-05,1.09E-05,7.86E-05,8.33E-05,9.98E-05,0.000154437,9.94E-05,0.000150834,0.000140446,8.05E-05,9.58E-05,0.00015883,0.000105357,8.65E-05,0.000162741,8.42E-05,0.000287348
DYNLRB1,0.000123549,0.00017277,0.000289983,4.92E-05,0.000132595,0.000208362,0.000203729,0.000151349,0.000254772,0.000221223,0.000232462,0.000134528,9.58E-05,0.000185302,0.00016556,9.94E-05,5.81E-05,0.000119238,0.000608174
EIF2S2,0.000194827,0.000170892,0.000204541,8.45E-05,0.000137506,0.000246829,0.000241665,0.000225478,0.000142921,0.000201112,0.000227619,0.000164519,0.000180092,0.000105887,0.000105357,0.000106631,0.000151117,0.0001508,0.000292928
ERGIC3,0.000522707,0.000187793,0.000181239,6.50E-05,8.51E-05,0.000112195,0.000160173,0.000169881,9.94E-05,0.000191057,0.00013076,0.000116534,0.000187755,0.000119122,0.000120408,0.000126804,0.00010462,0.000112224,0.000410099
ROMO1,0.00022809,0.000214084,0.000163115,0.000120364,6.55E-05,0.000102578,0.000123643,0.000138994,0.000149135,0.000150834,0.000217934,0.000108822,0.000137943,5.29E-05,0.000195662,9.94E-05,0.000116244,7.01E-05,0.000340354
CEP250,2.38E-05,1.13E-05,5.18E-06,2.43E-06,9.82E-06,3.21E-06,7.03E-06,9.27E-06,1.24E-05,2.01E-05,2.91E-05,1.29E-05,7.66E-06,5.29E-05,0,1.01E-05,1.16E-05,3.51E-06,2.23E-05
MMP24OS,3.80E-05,6.76E-05,8.03E-05,2.43E-05,4.42E-05,5.77E-05,2.25E-05,6.49E-05,4.97E-05,2.01E-05,6.78E-05,5.40E-05,5.75E-05,5.96E-05,1.51E-05,3.31E-05,5.81E-05,7.01E-05,5.86E-05
KDM5C,3.33E-05,3.38E-05,1.55E-05,1.03E-05,1.47E-05,1.92E-05,3.93E-05,3.40E-05,1.24E-05,2.01E-05,1.45E-05,2.83E-05,3.45E-05,2.65E-05,4.52E-05,2.88E-05,4.65E-05,1.05E-05,3.63E-05
AMOT,0,5.63E-06,1.55E-05,1.82E-06,4.91E-06,6.41E-06,2.67E-05,1.54E-05,8.70E-05,3.02E-05,1.45E-05,1.71E-06,7.66E-06,6.62E-06,0,5.76E-06,0,3.51E-06,5.58E-06
TMEM115,1.90E-05,2.82E-05,2.85E-05,1.22E-05,1.96E-05,3.21E-05,2.81E-05,3.71E-05,6.84E-05,0,3.87E-05,1.80E-05,4.60E-05,1.32E-05,0,2.16E-05,2.32E-05,0,5.86E-05
PSMB2,8.08E-05,8.64E-05,9.06E-05,7.48E-05,9.00E-05,0.000108989,6.74E-05,9.88E-05,5.59E-05,9.05E-05,0.00013076,9.85E-05,0.000122616,7.94E-05,0.000120408,5.19E-05,1.16E-05,8.07E-05,7.25E-05
AGO3,2.38E-05,2.82E-05,2.33E-05,7.90E-06,3.11E-05,1.60E-05,2.39E-05,1.85E-05,2.49E-05,5.03E-05,9.69E-06,2.31E-05,7.66E-06,1.99E-05,1.51E-05,3.60E-05,0,1.05E-05,3.07E-05
UROD,3.33E-05,4.32E-05,5.44E-05,4.44E-05,3.77E-05,5.13E-05,4.36E-05,4.32E-05,4.97E-05,5.03E-05,1.94E-05,5.06E-05,3.45E-05,1.32E-05,0,2.74E-05,0,1.05E-05,6.14E-05
