gene,1_non_malignant_core,2_non_malignant_border,3_malignant_border,4_malignant_core,5_malignant_collagen
GPR1,2.42E-05,7.03E-07,0,6.76E-07,0
GPR107,5.54E-05,2.56E-05,1.90E-05,3.83E-05,3.78E-05
GPR108,5.03E-06,0,2.47E-06,4.60E-06,0
GPR12,0,0,0,2.94E-06,1.50E-06
GPR132,0,6.13E-06,4.41E-06,2.66E-06,0.000124606
GPR135,9.24E-06,2.81E-06,4.41E-06,7.62E-06,3.13E-06
GPR137,4.87E-05,8.94E-06,1.91E-05,1.45E-05,4.43E-05
GPR137B,4.39E-06,0,3.76E-06,7.82E-06,7.64E-06
GPR137C,4.70E-06,1.41E-06,1.29E-06,0,3.01E-06
GPR139,0,0,0,0,0
GPR141,0,0,0,0,0
GPR143,0,0,0,1.47E-06,0
GPR146,0,2.11E-06,0,2.73E-06,0
GPR149,1.36E-05,2.71E-06,1.04E-05,1.99E-06,1.50E-06
GPR150,0,0,0,0,0
GPR153,2.25E-05,0,4.41E-06,1.36E-05,3.01E-06
GPR155,1.87E-05,6.06E-05,2.49E-05,2.74E-05,5.33E-05
GPR156,2.51E-06,0,0,0,0
GPR157,2.64E-05,5.09E-05,2.58E-06,3.28E-05,3.13E-06
GPR158,0,0,0,3.41E-06,0
GPR160,5.80E-06,8.37E-05,0.00030104,0.000743781,0.000185175
GPR161,4.19E-05,1.21E-05,2.58E-06,1.52E-05,2.38E-05
GPR162,0.000218734,0.000305418,0.00047171,7.34E-06,0.000167693
GPR17,0,0,0,0,0
GPR171,2.99E-05,2.71E-06,4.50E-05,6.76E-07,3.07E-05
GPR173,0,2.11E-06,0,6.76E-07,3.13E-06
GPR176,0,0,2.42E-05,5.37E-06,0
GPR18,0,2.71E-06,0,1.47E-06,0
GPR180,1.63E-05,4.92E-06,8.92E-06,1.47E-05,7.64E-06
GPR182,0,0,0,0,0
GPR183,3.63E-05,4.37E-05,0.000307494,4.83E-05,0.000194869
GPR19,0,0,0,1.35E-06,0
GPR20,0,0,0,0,0
GPR22,0,0,0,0,0
GPR26,1.14E-05,0,0,0,0
GPR27,2.19E-06,0,0,0,0
GPR3,0,0,9.06E-06,0,0
GPR31,0,0,0,0,0
GPR34,0,3.42E-06,4.24E-05,9.25E-06,0
GPR35,1.10E-06,9.94E-06,1.24E-05,3.52E-05,6.26E-06
GPR37,0,7.03E-07,6.45E-07,9.16E-06,0
GPR37L1,8.08E-06,0,6.45E-07,0,0
GPR39,0,0,2.58E-06,1.39E-05,4.51E-06
GPR55,0,0,3.83E-05,0,0
GPR63,0,0,0,0,3.01E-06
GPR65,3.29E-06,1.52E-05,8.06E-06,2.06E-05,3.54E-05
GPR68,0,7.03E-07,0,0,1.08E-05
GPR75-ASB3,5.63E-06,3.52E-06,7.52E-06,4.36E-05,0
GPR78,0,0,2.12E-05,2.39E-06,4.63E-06
GPR82,0.000490311,0.000468912,0.00135585,8.80E-05,0.000573053
GPR83,0,0,0,0,0
GPR84,0,0,0,0,3.01E-06
GPR85,7.26E-05,7.00E-05,7.26E-05,3.30E-05,3.78E-05
GPR88,0,0,9.06E-06,0,0
GPR89A,1.11E-05,1.32E-05,2.85E-05,3.66E-05,1.22E-05
GPR89B,3.29E-06,1.32E-05,2.99E-05,2.92E-05,1.08E-05
GPRC5A,8.64E-06,2.57E-05,5.23E-05,0.000187139,0.000144801
GPRC5B,5.03E-06,1.07E-05,1.53E-05,1.35E-06,1.70E-05
GPRC5C,0.000117381,4.12E-05,2.63E-05,6.58E-05,1.54E-05
GPRC5D,0,0,1.28E-05,0,0
GPRC6A,0,0,0,0,6.02E-06
GPRIN1,0,0,0,5.95E-06,0
GPRIN2,0,0,2.47E-06,8.28E-06,0
GPRIN3,3.32E-05,4.35E-05,4.29E-05,4.69E-05,3.35E-05
GPS1,3.10E-05,3.86E-05,4.53E-05,2.51E-05,1.39E-05
GPS2,4.70E-05,6.12E-05,9.11E-05,0.000126814,0.000126001
GPSM1,5.02E-06,2.33E-05,1.79E-05,2.98E-06,1.50E-06
GPSM2,3.57E-05,5.04E-05,5.64E-05,0.000195238,1.68E-05
GPSM3,1.87E-05,4.09E-05,1.66E-05,2.17E-05,0.000188891
GPT,9.08E-05,3.23E-05,5.28E-05,2.22E-05,0
GPT2,0.000126323,0.000174383,5.82E-05,3.55E-05,3.01E-06
GPX1,0.000137059,0.000212859,0.000177827,0.000183991,9.06E-05
GPX2,3.52E-05,3.56E-05,8.65E-05,0.000184543,8.25E-05
GPX3,0.000315062,0.000158861,0.000116585,3.89E-05,2.62E-05
