gene,1_nmc_H5,2_nmb_H5,3_mb_H5,4_mc_H5,5_mcol_H5
SSR3,9.180931638309948e-05,9.209707067902303e-05,7.39955097268156e-05,0.0001520797430419041,0.0001847067902074382
SSR4,8.919500260497205e-05,9.697881329670169e-05,0.00013085021765635302,0.00017255062213787216,0.00012264283646229774
SSRP1,4.1816079362989685e-05,1.3867556508948305e-05,3.578628950766945e-05,7.543791073585274e-05,1.8290578827480022e-05
SST,8.07787067329052e-06,7.033456747054389e-07,0.0,0.0,0.0
SSTR1,0.0,2.7137042062415198e-06,5.1600252841238925e-06,6.764700709346516e-07,0.0
SSU72,8.76282765080088e-05,9.706469770953829e-05,0.0001682545800844304,0.000161375618457278,8.966935161352714e-05
SSUH2,0.0,0.0,1.9350094815464596e-06,0.0,0.0
SSX1,0.0,0.0,0.0,0.0,0.0
SSX2,5.634120232125754e-06,0.0,6.450031605154866e-07,0.0,0.0
SSX2IP,1.0964731939715905e-06,1.1350607661411196e-05,1.0856288101906241e-05,8.951735902895026e-06,1.0649618873926428e-05
SSX3,0.0,7.033456747054389e-07,1.2900063210309731e-06,6.764700709346516e-07,0.0
SSX4,0.0,0.0,0.0,0.0,0.0
SSX5,0.0,0.0,0.0,0.0,0.0
SSX7,0.0,0.0,0.0,0.0,0.0
ST13,0.00037493197354357985,0.00044026328212853574,0.0002724014112028329,0.0002608652240149327,0.00033274341705036585
ST14,1.0964731939715905e-06,2.6203841408795014e-05,0.00014703781105470846,0.0003250257962877511,3.467830247846557e-05
ST18,8.07787067329052e-06,1.344654239797294e-05,8.92127862035978e-06,1.3898363569495368e-05,0.0
ST20-AS1,7.827066620068933e-06,0.0,6.450031605154866e-07,6.764700709346516e-07,0.0
ST20-MTHFS,5.599422716344942e-05,2.901722410761677e-05,1.2037528796080183e-05,3.579236842793629e-05,7.760272606175105e-06
ST3GAL1,0.0001380919993743041,7.494784402837441e-05,4.7168314101697024e-05,1.3915486787141737e-05,8.352167260929212e-05
ST3GAL2,9.239594467332775e-06,5.169023485533002e-05,1.0102519314533724e-05,1.9679077276548708e-05,6.255943145988689e-06
